timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,next_open,600.0,300.0,fixed_rr,1.5,3,2,1,66.67,1200.0,400.0,3.0,-600.0,9.33,2,1
1h,signal_close,300.0,100.0,fixed_rr,1.5,10,6,4,60.0,1061.5,106.15,1.885,-600.0,2.7,5,4
1h,signal_close,300.0,150.0,fixed_rr,1.5,10,6,4,60.0,1061.5,106.15,1.885,-600.0,2.7,5,4
1h,next_open,300.0,100.0,fixed_rr,1.5,10,6,4,60.0,1061.0,106.1,1.884,-600.0,1.7,5,4
1h,next_open,300.0,150.0,fixed_rr,1.5,10,6,4,60.0,1061.0,106.1,1.884,-600.0,1.7,5,4
1h,signal_close,500.0,50.0,fixed_rr,1.5,9,5,4,55.56,1011.5,112.39,1.506,-1000.0,8.11,4,4
1h,signal_close,500.0,100.0,fixed_rr,1.5,9,5,4,55.56,1011.5,112.39,1.506,-1000.0,8.11,4,4
1h,signal_close,500.0,150.0,fixed_rr,1.5,9,5,4,55.56,1011.5,112.39,1.506,-1000.0,8.11,4,4
1h,signal_close,500.0,200.0,fixed_rr,3.0,7,3,4,42.86,1011.5,144.5,1.506,-1000.0,11.71,2,4
1h,signal_close,1000.0,50.0,fixed_rr,1.0,6,4,2,66.67,1011.5,168.58,1.506,-1000.0,16.67,3,2
1h,signal_close,1000.0,50.0,fixed_rr,1.5,5,3,2,60.0,1011.5,202.3,1.506,-1000.0,22.6,2,2
1h,signal_close,1000.0,100.0,fixed_rr,1.0,6,4,2,66.67,1011.5,168.58,1.506,-1000.0,16.67,3,2
1h,signal_close,1000.0,100.0,fixed_rr,1.5,5,3,2,60.0,1011.5,202.3,1.506,-1000.0,22.6,2,2
1h,signal_close,1000.0,150.0,fixed_rr,1.0,6,4,2,66.67,1011.5,168.58,1.506,-1000.0,16.67,3,2
1h,signal_close,1000.0,150.0,fixed_rr,1.5,5,3,2,60.0,1011.5,202.3,1.506,-1000.0,22.6,2,2
1h,signal_close,1000.0,200.0,fixed_rr,1.5,5,3,2,60.0,1011.5,202.3,1.506,-1000.0,17.2,2,2
1h,next_open,500.0,50.0,fixed_rr,1.5,9,5,4,55.56,1011.0,112.33,1.506,-1000.0,7.11,4,4
1h,next_open,500.0,100.0,fixed_rr,1.5,9,5,4,55.56,1011.0,112.33,1.506,-1000.0,7.11,4,4
1h,next_open,500.0,150.0,fixed_rr,1.5,9,5,4,55.56,1011.0,112.33,1.506,-1000.0,7.11,4,4
1h,next_open,500.0,200.0,fixed_rr,3.0,7,3,4,42.86,1011.0,144.43,1.506,-1000.0,10.71,2,4
1h,next_open,1000.0,50.0,fixed_rr,1.0,6,4,2,66.67,1011.0,168.5,1.506,-1000.0,15.67,3,2
1h,next_open,1000.0,50.0,fixed_rr,1.5,5,3,2,60.0,1011.0,202.2,1.506,-1000.0,21.6,2,2
1h,next_open,1000.0,100.0,fixed_rr,1.0,6,4,2,66.67,1011.0,168.5,1.506,-1000.0,15.67,3,2
1h,next_open,1000.0,100.0,fixed_rr,1.5,5,3,2,60.0,1011.0,202.2,1.506,-1000.0,21.6,2,2
1h,next_open,1000.0,150.0,fixed_rr,1.0,6,4,2,66.67,1011.0,168.5,1.506,-1000.0,15.67,3,2
1h,next_open,1000.0,150.0,fixed_rr,1.5,5,3,2,60.0,1011.0,202.2,1.506,-1000.0,21.6,2,2
1h,next_open,1000.0,200.0,fixed_rr,1.5,5,3,2,60.0,1011.0,202.2,1.506,-1000.0,16.2,2,2
1h,signal_close,500.0,400.0,fixed_rr,2.0,1,1,0,100.0,1000.0,1000.0,inf,0.0,10.0,1,0
1h,signal_close,1000.0,400.0,fixed_rr,1.0,1,1,0,100.0,1000.0,1000.0,inf,0.0,10.0,1,0
1h,next_open,500.0,400.0,fixed_rr,2.0,1,1,0,100.0,1000.0,1000.0,inf,0.0,9.0,1,0
1h,next_open,1000.0,400.0,fixed_rr,1.0,1,1,0,100.0,1000.0,1000.0,inf,0.0,9.0,1,0
1h,signal_close,500.0,300.0,fixed_rr,1.5,3,2,1,66.67,1000.0,333.33,3.0,-500.0,10.0,2,1
